ComentarioCrudo,ComentarioLimpio
Q pena más grande ..,Q pena más grande ..
"Lamborghini ,madrugada,,,suena a irresponsabilidad….","Lamborghini ,madrugada,,,suena a irresponsabilidad."
"Descansa en paz guerrero
mucha fortaleza para sus familiares","Descansa en paz guerrero
mucha fortaleza para sus familiares"
Dios mio con tres angelitos pequeñitos y no cuido su vida un tiempo más,Dios mio con tres angelitos pequeñitos y no cuido su vida un tiempo más
"Condolencias para fmlia amgos., Afición bendiciones para tda su
hasta el cielo hermanos.","Condolencias para fmlia amgos., Afición bendiciones para tda su
hasta el cielo hermanos."
Hoy el fútbol está de luto!!,Hoy el fútbol está de luto!!
Es una triste noticia seas del equipo que seas así es la vida hoy estamos mañana kien sabe!!,Es una triste noticia seas del equipo que seas así es la vida hoy estamos mañana kien sabe!!
Descanza en paz diogo jota resignación. A su familia,Descanza en paz diogo jota resignación. A su familia
Dios lo tenga en su Sta gloria.,Dios lo tenga en su Sta gloria.
Descansa amigo dios te bendiga,Descansa amigo dios te bendiga
"QEPD, y muchas fuerzas para la familia","QEPD, y muchas fuerzas para la familia"
Wuaooo que impresionante,Wuaooo que impresionante
La vida es una puta,La vida es una puta
Mucha tristeza un chico tan joven y sus hijos tan pequeños y toda su familia muchísima fuerza para todos,Mucha tristeza un chico tan joven y sus hijos tan pequeños y toda su familia muchísima fuerza para todos
Q.P.E.D,Q.P.E.D
"Honestamente, estoy en shock aún no creo que este muerto:(.","Honestamente, estoy en shock aún no creo que este muerto."
EPD,EPD
"Estas son las cosas, que le arruga a uno el corazon.","Estas son las cosas, que le arruga a uno el corazon."
Buela alto y mándame consuelo a esa hermosa familia,Buela alto y mándame consuelo a esa hermosa familia
Asu como es la vida,Asu como es la vida
Dep,Dep
La vida...,La vida...
Descansa en paz fortaleza a sus familiares,Descansa en paz fortaleza a sus familiares
"Ver esa foto con esa madre y esas tres criaturas ,el corazón te dice que injusta es a veces la vida .fortaleza de esa madre con sus tres bebés .
.de un Cacereño.","Ver esa foto con esa madre y esas tres criaturas ,el corazón te dice que injusta es a veces la vida .fortaleza de esa madre con sus tres bebés .
.de un Cacereño."
"""Dios "" Lo Tenga en su Gloria
!","Dios Lo Tenga en su Gloria
!"
"Demasiado horrible y triste esta noticia, a veces uno no entiende porque ocurren este tipo de cosas y nunca las entenderemos, Paz a sus restos y mucha fortaleza para su familia, su esposa, sus hijos y sus padres ￼","Demasiado horrible y triste esta noticia, a veces uno no entiende porque ocurren este tipo de cosas y nunca las entenderemos, Paz a sus restos y mucha fortaleza para su familia, su esposa, sus hijos y sus padres"
La vida es sólo un engaño,La vida es sólo un engaño
En Paz descanse,En Paz descanse
Paz en su tumba.,Paz en su tumba.
Gracias infinitas por habernos regalado tantas alegrías.,Gracias infinitas por habernos regalado tantas alegrías.
Hasta siempre Diogo.,Hasta siempre Diogo.
QEPD,QEPD
"Asi el destino , asi la vida, el mismo compro la maquina que lo desvivio","Asi el destino , asi la vida, el mismo compro la maquina que lo desvivio"
EPD,EPD
EPD,EPD
Sentido pésame Dios te tenga en su santo reino,Sentido pésame Dios te tenga en su santo reino
"Cuando,la rayita está pintada,cuando es el momento,cuando Dios decide las cosas,no hay imprudencias ni justificaciones,pasan así de sencillo,muy triste pero nadie sabe lo que pueda suceder,descanse en paz","Cuando,la rayita está pintada,cuando es el momento,cuando Dios decide las cosas,no hay imprudencias ni justificaciones,pasan así de sencillo,muy triste pero nadie sabe lo que pueda suceder,descanse en paz"
"De acuerdo con la sensibilidad a su familia,pero un jugador en la noche “que negociós “.-","De acuerdo con la sensibilidad a su familia,pero un jugador en la noche que negociós ."
Uffff fuerte fuerte.,Uffff fuerte fuerte.
No puede ser q triste sinceramente,No puede ser q triste sinceramente
"QEPD
Lamentable noticia","QEPD
Lamentable noticia"
Que triste x Dios bendito,Que triste x Dios bendito
Sin palabras,Sin palabras
"Q.E.P.D
tenía un futuro prometedor , pronta resignación a su bella esposa , sus preciosos hijos y demas familia","Q.E.P.D
tenía un futuro prometedor , pronta resignación a su bella esposa , sus preciosos hijos y demas familia"
"Diante de uma copa do mundo de clubes com tantas alegrias ,recebemos estão notícias triste e que não estamos preparados para ouvir e aceitar ,que Deus console a todos familiares e amigos.","Diante de uma copa do mundo de clubes com tantas alegrias ,recebemos esto notícias triste e que no estamos preparados para ouvir e aceitar ,que Deus console a todos familiares e amigos."
Epd,Epd
Díos lo tenga en su Gloria!!!,Díos lo tenga en su Gloria!!!
"Mi buen Dios abraza a esta linda familia que ha quedado sin su padre y esposo , que reciban tu paz , tu compañía y consuelo","Mi buen Dios abraza a esta linda familia que ha quedado sin su padre y esposo , que reciban tu paz , tu compañía y consuelo"
Epd gran jugador,Epd gran jugador
De verdad que triste... descansa en paz,De verdad que triste... descansa en paz
Descansa en paz crack,Descansa en paz crack
Fuerzas del cielo para su familia..,Fuerzas del cielo para su familia..
"Qué triste y lamentable noticia, que Dios tenga misericordia de la familia, les dé mucha fortaleza.","Qué triste y lamentable noticia, que Dios tenga misericordia de la familia, les dé mucha fortaleza."
"A Diego, que Dios lo reciba en su casa celestial, con todo su amor","A Diego, que Dios lo reciba en su casa celestial, con todo su amor"
Muy triste Dios les de la fortaleza a su familia para sobrellevar este gran dolor y Dios le conceda el descanso eterno,Muy triste Dios les de la fortaleza a su familia para sobrellevar este gran dolor y Dios le conceda el descanso eterno
Que tristeza!!!QEPD! Un abrazo a toda su familia!,Que tristeza!!!QEPD! Un abrazo a toda su familia!
Descansa en paz Diogo Jota.,Descansa en paz Diogo Jota.
Pero que le paso?,Pero que le paso?
"Dios que tristeza por esos 3 niños la falta que le hará su padre
y lo otro es su madre destrozada ya que no sólo murió diogo de 28 años sino también andre de 26 año sus 2 hijos.. tremendo dolor","Dios que tristeza por esos 3 niños la falta que le hará su padre
y lo otro es su madre destrozada ya que no sólo murió diogo de 28 años sino también andre de 26 año sus 2 hijos.. tremendo dolor"
El problema tb es tan joven y con esos coches tan potentes ...y en carreteras secundarias ....intuyo que iba a velocidad muy superada a la permitida,El problema tb es tan joven y con esos coches tan potentes ...y en carreteras secundarias ....intuyo que iba a velocidad muy superada a la permitida
Que dios le de muchas fuerzas así,Que dios le de muchas fuerzas así
Esposa y demás familia como duele,Esposa y demás familia como duele
Ber esas noticias tan joven que estaba,Ber esas noticias tan joven que estaba
Yo digo por qué pasas esas cosas,Yo digo por qué pasas esas cosas
Lo ciento selos digo de todo,Lo ciento selos digo de todo
Dios lede muchas fuerzas así,Dios lede muchas fuerzas así
Esposa y demás familia que paz descanse,Esposa y demás familia que paz descanse
"Dios mioooooooo porque padre??? y tanta asesinos violadores de todos seres humanos horribles y no les pasa nadaaaaaa ,que tristeza","Dios mioooooooo porque padre??? y tanta asesinos violadores de todos seres humanos horribles y no les pasa nadaaaaaa ,que tristeza"
EPD,EPD
Que descanse en paz,Que descanse en paz
EPD,EPD
EPD,EPD
"Que tragedia, que triste.","Que tragedia, que triste."
Paz a su alma y Dios de fuerzas a su familia.,Paz a su alma y Dios de fuerzas a su familia.
Descanse en paz Diogo,Descanse en paz Diogo
D.E.P EL CEL US ACULLI FORCA A LA FAMILIA,D.E.P EL CEL US ACULLI FORCA A LA FAMILIA
Madre mía a veces la vida es injusta,Madre mía a veces la vida es injusta
Lo bueno es que ya tuvieron hijos.,Lo bueno es que ya tuvieron hijos.
Cuanto dolor mi Señor....toda una vida por vivir junto a su FAMILIA...Que triste todo ....,Cuanto dolor mi Señor....toda una vida por vivir junto a su FAMILIA...Que triste todo ....
Che immane tragedia,Che immane tragedia
Que triste pero así es el destino no sabemos cuándo Dios nos llama Dios los tenga en su santa gloria mucha Fortaleza para toda su familia,Que triste pero así es el destino no sabemos cuándo Dios nos llama Dios los tenga en su santa gloria mucha Fortaleza para toda su familia
Triste tragedia mucho dolor fuersas familias dios comsuele tanta falta jovem descanse mi gram jugador estrella k vuela,Triste tragedia mucho dolor fuersas familias dios comsuele tanta falta jovem descanse mi gram jugador estrella k vuela
Q.E.P.D.,Q.E.P.D.
Dios que triste,Dios que triste
D. E.P. y D. D. G.,D. E.P. y D. D. G.
QEPD Amén,QEPD Amén
"David García, el mejor comentario que he leído, tienes toda la razón","David García, el mejor comentario que he leído, tienes toda la razón"
"QEPD bien joven pero así el la muerte todos tenemos un destino,día y hora para morir que lamentable sus niños quedan muy pequeños la esposa tendrá que ser fuerte para ellos","QEPD bien joven pero así el la muerte todos tenemos un destino,día y hora para morir que lamentable sus niños quedan muy pequeños la esposa tendrá que ser fuerte para ellos"
"Este fue su año de Diego salir campeón en la premier, campeona con su país en la liga de naciones ase poco se casó ahora partió ala eternidad un gran jugador mundial q Diosito lo tenga en su gloria descansa en Paz Diogo jota mis condolencias asu familia","Este fue su año de Diego salir campeón en la premier, campeona con su país en la liga de naciones ase poco se casó ahora partió ala eternidad un gran jugador mundial q Diosito lo tenga en su gloria descansa en Paz Diogo jota mis condolencias asu familia"
EPD,EPD
"Q.E.P.D
mis condolencias a su flia y amistades de Uruguay","Q.E.P.D
mis condolencias a su flia y amistades de Uruguay"
Fortaleza asu familia. Pero la vida es un hilo en cualquier momento se rompe y no nos avisa que dios lo tenga en su gloria,Fortaleza asu familia. Pero la vida es un hilo en cualquier momento se rompe y no nos avisa que dios lo tenga en su gloria
La ironía del destino son preguntas sin respuestas,La ironía del destino son preguntas sin respuestas
Amén,Amén
"El casamiento fue para la vidriera, estuvieron en concubinato tanto tiempo.","El casamiento fue para la vidriera, estuvieron en concubinato tanto tiempo."
Primero es el casamiento y luego los hijos.,Primero es el casamiento y luego los hijos.
Pero cada uno hace lo que mejor le parece y no como es la Voluntad de Dios.,Pero cada uno hace lo que mejor le parece y no como es la Voluntad de Dios.
"De no creer, solo de pensar en dejar a mi hijos pequeños en esta vida, pero cuando nos toca aunque nos quitemos!","De no creer, solo de pensar en dejar a mi hijos pequeños en esta vida, pero cuando nos toca aunque nos quitemos!"
Hay que aprovechar cada momento con la familia.,Hay que aprovechar cada momento con la familia.
QEPD y brille para el la luz eterna. Dios conforte a su familia y amigos,QEPD y brille para el la luz eterna. Dios conforte a su familia y amigos
Dios bendiga y consuele a su esposa he hijos,Dios bendiga y consuele a su esposa he hijos
"QEPD muchas fuerzas a su esposa, que tristeza por esos niños hermosos","QEPD muchas fuerzas a su esposa, que tristeza por esos niños hermosos"
"Q triste noticia pero esto hace parte de la vida somos prestados en este planeta y no sabemos cuándo nos Iremos.duro para la familia q son los q más sienten la partida,
y esto es parte de la vida,no sabemos cuándo nos llegue el día pero hay q estar preparados para esta horrible verdad","Q triste noticia pero esto hace parte de la vida somos prestados en este planeta y no sabemos cuándo nos Iremos.duro para la familia q son los q más sienten la partida,
y esto es parte de la vida,no sabemos cuándo nos llegue el día pero hay q estar preparados para esta horrible verdad"
Nooooooooo xq digo Jota,Nooooooooo xq digo Jota
"No es caprichosa la vida,es trizte porq era joven tenia una hermosa familia,aveces no miden la velocidad y pasa esto","No es caprichosa la vida,es trizte porq era joven tenia una hermosa familia,aveces no miden la velocidad y pasa esto"
DEP,DEP
"I cant believe , dia muy triste para nosotros los seguidores del Liverpool y el soccer","I cant believe , dia muy triste para nosotros los seguidores del Liverpool y el soccer"
EPD,EPD
QDEP,QDEP
"Es increíble que me levanté a las 1 de tarde y revisar mi celular y encontrar está noticia,y lo único que pensé que era una broma o que era el día de los inocentes,pero al confirmarse es un pinchazo una espina al corazón,no es familiar o cosas así pero verlo cada finde por años te da algo de nostalgia y tristeza,por qué ahora ver al liverpool y Portugal siempre me hará recordar a diogo jota","Es increíble que me levanté a las 1 de tarde y revisar mi celular y encontrar está noticia,y lo único que pensé que era una broma o que era el día de los inocentes,pero al confirmarse es un pinchazo una espina al corazón,no es familiar o cosas así pero verlo cada finde por años te da algo de nostalgia y tristeza,por qué ahora ver al liverpool y Portugal siempre me hará recordar a diogo jota"
Que triste,Que triste
"Es muy lamentable esta noticia descansa en paz
crack","Es muy lamentable esta noticia descansa en paz
crack"
QEPD,QEPD
"Me mata toda la carta
el tipo de la página solo quiere likes ni aprecio le debe tener al tipo.","Me mata toda la carta
el tipo de la página solo quiere likes ni aprecio le debe tener al tipo."
Terrible eso,Terrible eso
Que incierta es la Vida Dios Fortalezca su Familia,Que incierta es la Vida Dios Fortalezca su Familia
QUE TRISTEZA,QUE TRISTEZA
"Triste una noticia de esta indole..descansen en paz,.","Triste una noticia de esta indole..descansen en paz,."
Que Dios le fortaleza a la familia y que Descanse en paz Diogo Jota,Que Dios le fortaleza a la familia y que Descanse en paz Diogo Jota
